,Attempt,Color,Gesture Requested,Gesture Detected,Success,Reaction Time,Move Time
0,1,ORANGE,RAISE,RAISE,True,625,883
1,1,ORANGE,RAISE,RAISE,True,6,241
2,1,RED,TWIST,TWIST,True,909,1358
3,1,RED,TWIST,TWIST,True,500,1012
4,1,GREEN,FLEX,CROSS,False,1711,1945
5,2,GREEN,FLEX,CROSS,False,292,534
6,3,GREEN,FLEX,CROSS,False,149,363
7,1,GREEN,FLEX,CROSS,False,1522,1854
8,2,GREEN,FLEX,CROSS,False,6,238
9,3,GREEN,FLEX,CROSS,False,437,736
10,1,BLUE,CROSS,TWIST,False,1082,2373
11,2,BLUE,CROSS,CROSS,True,726,1043
12,1,BLUE,CROSS,CROSS,True,356,584
13,1,RED,TWIST,TWIST,True,747,1308
14,1,ORANGE,RAISE,RAISE,True,518,800
